ID_ESTADO;UF;CAPITAL;SIGLA;REGIAO;Cidade;PIB;Pop_est_2009;PIB_percapita
4;AMAZONAS;178;AM;NORTE;Caapiranga;45974.66015625;11170;4115.91015625
4;AMAZONAS;178;AM;NORTE;Canutama;49871.54296875;11948;4174.04980469
4;AMAZONAS;178;AM;NORTE;Uarini;60242.65625;10108;5959.89990234
4;AMAZONAS;178;AM;NORTE;Japurá;25534.7109375;4238;6025.18017578
4;AMAZONAS;178;AM;NORTE;Silves;66035.21875;8543;7729.75
4;AMAZONAS;178;AM;NORTE;Manacapuru;397942.40625;86472;4601.97998047
4;AMAZONAS;178;AM;NORTE;Ipixuna;85468.484375;18202;4695.54980469
4;AMAZONAS;178;AM;NORTE;Santo Antônio do Içá;94013.0;30351;3097.5300293
4;AMAZONAS;178;AM;NORTE;Beruri;78535.7421875;14705;5340.75
4;AMAZONAS;178;AM;NORTE;Manicoré;239006.1875;46773;5109.91992188
4;AMAZONAS;178;AM;NORTE;São Gabriel da Cachoeira;202045.265625;41885;4823.81005859
4;AMAZONAS;178;AM;NORTE;São Sebastião do Uatumã;32970.34765625;9268;3557.43994141
4;AMAZONAS;178;AM;NORTE;Jutaí;68712.0;16791;4092.18994141
4;AMAZONAS;178;AM;NORTE;Santa Isabel do Rio Negro;56945.6171875;18506;3077.13989258
4;AMAZONAS;178;AM;NORTE;Humaitá;225637.4375;40735;5539.14990234
4;AMAZONAS;178;AM;NORTE;Anori;74464.953125;14688;5069.77978516
4;AMAZONAS;178;AM;NORTE;Barcelos;77717.203125;25410;3058.5300293
4;AMAZONAS;178;AM;NORTE;Parintins;460521.75;107250;4293.91015625
4;AMAZONAS;178;AM;NORTE;Carauari;120910.09375;26187;4617.18017578
4;AMAZONAS;178;AM;NORTE;Barreirinha;101256.609375;28162;3595.51000977
4;AMAZONAS;178;AM;NORTE;Lábrea;394562.34375;39393;10016.04980469
5;BAHIA;536;BA;NORDESTE;Tremedal;57883.9921875;18433;3140.23999023
5;BAHIA;536;BA;NORDESTE;Maetinga;23558.44726562;7884;2988.12988281
5;BAHIA;536;BA;NORDESTE;Ibirapuã;74997.40625;7893;9501.75976562
5;BAHIA;536;BA;NORDESTE;Governador Mangabeira;92903.8203125;20668;4495.06005859
5;BAHIA;536;BA;NORDESTE;Ibititá;62366.88671875;19410;3213.12988281
5;BAHIA;536;BA;NORDESTE;Sátiro Dias;75908.4609375;18919;4012.29003906
5;BAHIA;536;BA;NORDESTE;Irajuba;29224.98828125;7666;3812.29003906
5;BAHIA;536;BA;NORDESTE;Itaquara;33105.69921875;7743;4275.56982422
5;BAHIA;536;BA;NORDESTE;Cansanção;112228.7734375;34093;3291.84008789
5;BAHIA;536;BA;NORDESTE;Itaparica;102586.6484375;20796;4933.0
5;BAHIA;536;BA;NORDESTE;Nova Redenção;28909.56835938;9318;3102.55004883
5;BAHIA;536;BA;NORDESTE;Ibicuí;69475.15625;16464;4219.81982422
5;BAHIA;536;BA;NORDESTE;Santa Rita de Cássia;91663.0;27528;3329.81005859
5;BAHIA;536;BA;NORDESTE;Nordestina;35456.31640625;12670;2798.44995117
5;BAHIA;536;BA;NORDESTE;Coronel João Sá;76828.921875;18408;4173.66992188
5;BAHIA;536;BA;NORDESTE;Pedro Alexandre;58842.01171875;17698;3324.7800293
5;BAHIA;536;BA;NORDESTE;Prado;285453.96875;26016;10972.25
5;BAHIA;536;BA;NORDESTE;Iaçu;109799.9453125;28602;3838.88989258
5;BAHIA;536;BA;NORDESTE;Araci;172730.890625;54713;3157.04003906
5;BAHIA;536;BA;NORDESTE;Coribe;63455.30859375;14895;4260.18017578
5;BAHIA;536;BA;NORDESTE;Araças;97321.03125;12209;7971.25
5;BAHIA;536;BA;NORDESTE;Conceição do Almeida;69316.4296875;17974;3856.47998047
5;BAHIA;536;BA;NORDESTE;Baianópolis;60239.99609375;14195;4243.75
5;BAHIA;536;BA;NORDESTE;Cruz das Almas;387271.40625;57098;6782.56982422
5;BAHIA;536;BA;NORDESTE;Feira de Santana;6358135.5;591707;10745.41015625
5;BAHIA;536;BA;NORDESTE;Jaborandi;161163.734375;8895;18118.4609375
5;BAHIA;536;BA;NORDESTE;Santaluz;129238.140625;35416;3649.14990234
5;BAHIA;536;BA;NORDESTE;Alagoinhas;1298216.375;137810;9420.33984375
5;BAHIA;536;BA;NORDESTE;Itiruçu;68143.1640625;16827;4049.62988281
5;BAHIA;536;BA;NORDESTE;Mulungu do Morro;39825.95703125;13879;2869.51000977
5;BAHIA;536;BA;NORDESTE;Cabaceiras do Paraguaçu;58247.78515625;18569;3136.83007812
5;BAHIA;536;BA;NORDESTE;Tanque Novo;70092.859375;16466;4256.81982422
5;BAHIA;536;BA;NORDESTE;Planaltino;31850.30078125;8880;3586.75
5;BAHIA;536;BA;NORDESTE;Serrinha;393287.0625;73859;5324.83984375
5;BAHIA;536;BA;NORDESTE;Ipiaú;271794.59375;43723;6216.27978516
5;BAHIA;536;BA;NORDESTE;Conceição do Jacuípe;404286.28125;28769;14052.83984375
5;BAHIA;536;BA;NORDESTE;Ibirapitanga;94739.7421875;24223;3911.14990234
5;BAHIA;536;BA;NORDESTE;Itapetinga;658192.25;66665;9873.12988281
5;BAHIA;536;BA;NORDESTE;Umburanas;48177.484375;17096;2818.06005859
5;BAHIA;536;BA;NORDESTE;Brejões;92945.0078125;12446;7467.85986328
5;BAHIA;536;BA;NORDESTE;Coaraci;88990.53125;22274;3995.26000977
5;BAHIA;536;BA;NORDESTE;Marcionílio Souza;41508.33203125;11061;3752.66992188
5;BAHIA;536;BA;NORDESTE;Queimadas;95227.765625;28729;3314.68994141
5;BAHIA;536;BA;NORDESTE;Itabela;201399.09375;26704;7541.91015625
5;BAHIA;536;BA;NORDESTE;Salvador;32824228.0;2998056;10948.5
5;BAHIA;536;BA;NORDESTE;Jussiape;28544.64453125;8043;3549.0
5;BAHIA;536;BA;NORDESTE;Lençóis;52895.79296875;10112;5230.99023438
5;BAHIA;536;BA;NORDESTE;Aramari;36618.66796875;9911;3694.75
5;BAHIA;536;BA;NORDESTE;Ilhéus;1925639.875;219266;8782.20996094
5;BAHIA;536;BA;NORDESTE;Antônio Gonçalves;33189.3984375;11240;2952.79003906
5;BAHIA;536;BA;NORDESTE;Abaíra;29147.60742188;8821;3304.34008789
5;BAHIA;536;BA;NORDESTE;Souto Soares;53800.0703125;19407;2772.19995117
5;BAHIA;536;BA;NORDESTE;Barro Alto;41433.265625;14172;2923.60009766
5;BAHIA;536;BA;NORDESTE;Ibipitanga;43890.1875;14408;3046.23999023
5;BAHIA;536;BA;NORDESTE;Canudos;53531.296875;15366;3483.75
5;BAHIA;536;BA;NORDESTE;João Dourado;97669.578125;21990;4441.54980469
5;BAHIA;536;BA;NORDESTE;Cristópolis;47487.671875;14279;3325.69995117
5;BAHIA;536;BA;NORDESTE;Ribeira do Pombal;244964.375;49263;4972.58007812
5;BAHIA;536;BA;NORDESTE;Retirolândia;54673.390625;11798;4634.12011719
5;BAHIA;536;BA;NORDESTE;Caldeirão Grande;43519.43359375;13922;3125.94995117
5;BAHIA;536;BA;NORDESTE;Santana;116221.203125;27259;4263.58984375
5;BAHIA;536;BA;NORDESTE;Santo Amaro;307409.65625;58387;5265.04003906
5;BAHIA;536;BA;NORDESTE;Irará;126903.78125;25811;4916.64990234
5;BAHIA;536;BA;NORDESTE;Ibirataia;104637.359375;24544;4263.25976562
5;BAHIA;536;BA;NORDESTE;Xique-Xique;183536.203125;47470;3866.36010742
5;BAHIA;536;BA;NORDESTE;Rio de Contas;55162.2109375;13816;3992.62988281
5;BAHIA;536;BA;NORDESTE;Camacan;147744.5625;31113;4748.64013672
5;BAHIA;536;BA;NORDESTE;Nova Soure;79305.59375;26874;2951.02001953
5;BAHIA;536;BA;NORDESTE;Canápolis;32292.515625;11136;2899.83007812
5;BAHIA;536;BA;NORDESTE;Lamarão;30241.3203125;12995;2327.14990234
5;BAHIA;536;BA;NORDESTE;Saubara;58806.34765625;11632;5055.56982422
5;BAHIA;536;BA;NORDESTE;Contendas do Sincorá;18747.91796875;3886;4824.47998047
5;BAHIA;536;BA;NORDESTE;Morpará;34771.55859375;8871;3919.68994141
5;BAHIA;536;BA;NORDESTE;Pau Brasil;41465.12109375;12342;3359.67993164
5;BAHIA;536;BA;NORDESTE;São Desidério;981035.875;27513;35657.1796875
5;BAHIA;536;BA;NORDESTE;Aurelino Leal;57520.3515625;14280;4028.04003906
5;BAHIA;536;BA;NORDESTE;Conde;88530.46875;23166;3821.57006836
5;BAHIA;536;BA;NORDESTE;Belmonte;136881.390625;22553;6069.31982422
5;BAHIA;536;BA;NORDESTE;Pojuca;688526.25;32225;21366.2109375
5;BAHIA;536;BA;NORDESTE;Banzaê;36750.9375;11157;3293.97998047
5;BAHIA;536;BA;NORDESTE;Ituberá;132642.828125;24169;5488.14013672
5;BAHIA;536;BA;NORDESTE;Eunápolis;1228962.0;99553;12344.79980469
5;BAHIA;536;BA;NORDESTE;Manoel Vitorino;49992.703125;14138;3536.05004883
5;BAHIA;536;BA;NORDESTE;Santo Estêvão;264766.96875;46855;5650.77001953
5;BAHIA;536;BA;NORDESTE;Novo Horizonte;37422.05078125;11092;3373.79003906
5;BAHIA;536;BA;NORDESTE;Dom Macedo Costa;16689.80078125;3951;4224.20019531
